-450.714,648.003,-26.1766
601,-2.78998,10.1992,2.07068
602,-1.96217,10.4569,2.19081
603,-45.1144,136.594,6.59885
604,-12.5875,56.8627,3.76411
605,-7.35191,23.8349,1.43177
606,-2.85054,12.0365,2.15459
607,-51.9916,135.113,7.45923
608,-22.5962,82.2468,4.62275
609,-3.45201,10.6705,2.41202
610,-9.09645,41.5836,0.7201
611,-23.3203,84.7952,6.6885
612,-15.2321,47.3437,0.87537
613,-3.5603,10.9962,2.62276
614,-10.2233,32.3936,11.7113
615,-15.8616,49.2408,1.94969
616,-1.11753,5.97859,0.99089
617,-18.2769,49.2508,2.23069
618,-9.54654,36.3329,2.0391
619,-2.31838,8.92475,0.9277
620,-2.3237,10.3346,1.25068
621,-44.607,136.732,3.30827
622,-2.88375,10.631,1.58158
623,-2.31294,10.2742,1.90055
624,-49.698,130.601,4.08788
625,-22.6745,83.629,2.69537
626,-2.73803,10.2089,2.07062
627,-1.91197,10.4764,2.19078
628,-44.5834,136.658,6.59811
629,-12.4007,56.9165,3.76393
630,-7.26043,23.8516,1.43164
631,-2.82,12.0525,2.15455
632,-51.4656,135.206,7.45848
633,-22.4846,82.9576,4.64387
634,-3.45746,10.8325,2.4023
635,-8.96311,41.7093,0.71014
636,-22.3607,82.4877,6.58282
637,-15.0657,47.4549,0.8653
638,-3.59935,11.2335,2.61321
639,-12.3834,56.8746,1.15383
640,-10.0652,32.3206,11.6809
641,-15.6372,49.1388,1.94914
642,-1.10943,5.99017,0.99091
643,-18.0788,49.1638,2.23041
644,-9.42662,36.3439,2.03906
645,-2.30043,8.93807,0.92772
646,-2.31559,10.3462,1.2507
647,-44.1604,136.791,3.30817
648,-12.2142,56.9523,2.47391
649,-2.86058,10.6148,1.58154
650,-2.29497,10.2875,1.91057
651,-49.464,131.231,4.08909
652,-2.71486,10.1926,2.07058
653,-1.90386,10.488,2.1908
654,-44.1402,136.736,6.59806
655,-12.2136,56.9496,3.76391
656,-7.20193,23.9228,1.43176
657,-2.76728,12.0415,2.1645
658,-51.0127,135.287,7.45843
659,-21.9631,82.0748,4.62174
660,-3.50731,11.0573,2.3928
661,-8.84727,41.8008,0.71028
662,-22.1626,82.7461,6.59326
663,-14.9435,47.5679,0.86548
664,-9.09601,35.1042,1.26628
665,-3.66254,11.4762,2.60376
666,-12.2195,56.9238,1.15385
667,-9.91928,32.184,11.6306
668,-15.4512,49.1208,1.95901
669,-1.08799,5.98381,0.99089
670,-17.8951,49.2166,2.23043
671,-9.31194,36.3845,2.03909
672,-2.26915,8.93344,0.9277
673,-2.29824,10.4204,1.23085
674,-43.6384,136.883,3.30811
675,-12.0109,57.0086,2.47393
676,-2.81308,10.6333,1.58155
677,-2.25211,10.2747,1.91052
678,-50.533,135.501,4.12863
679,-23.872,90.2923,2.67002
680,-2.70386,10.2454,2.07068
681,-1.85462,10.4967,2.19079
682,-43.6368,136.876,6.5981
683,-12.0085,56.996,3.7639
684,-7.13998,23.9744,1.42184
685,-2.72965,12.0584,2.16452
686,-50.5163,135.466,7.44856
687,-21.9389,83.1453,4.64399
688,-3.54385,11.2641,2.38325
689,-22.0284,83.4806,6.61475
690,-14.8114,47.6826,0.86565
691,-12.0145,56.9702,1.15384
692,-9.76055,32.0903,11.6003
693,-22.0302,70.0364,1.49639
694,-1.08163,6.00524,0.99093
695,-17.7584,49.3626,2.23067
696,-9.1955,36.4152,2.0391
697,-2.24309,8.95836,0.92774
698,-2.67346,11.9694,0.9343
699,-11.8336,57.0398,2.4739
700,-2.79339,10.6368,1.58155
701,-2.22431,10.2898,1.90054
702,-50.0458,135.617,4.12863
703,-23.627,90.6301,2.67061
704,-2.67258,10.2407,2.07066
705,-1.82508,10.5019,2.19079
706,-11.833,57.0371,3.7739
707,-7.39567,25.0769,1.34429
708,-2.69199,12.0752,2.16453
709,-50.0105,135.535,7.44845
710,-21.6893,83.3417,4.64428
711,-3.62386,11.5445,2.36388
712,-7.08074,34.963,1.10498
713,-21.7463,83.5508,6.61475
714,-14.6597,47.8008,0.85583
715,-17.0635,47.4974,1.12638
716,-11.8077,57.0067,1.15382
717,-15.3443,49.9523,1.94071
718,-1.05845,5.98903,0.99089
719,-17.6247,49.4675,2.23082
720,-9.07966,36.5067,2.03923
721,-2.2315,8.95025,0.92771
722,-2.63407,11.9763,0.9343
723,-37.3913,120.317,3.27006
724,-2.75573,10.6536,1.58157
725,-2.19477,10.295,1.90053
726,-49.5615,135.692,4.12855
727,-24.182,93.9441,2.65787
728,-2.63319,10.2477,2.07065
729,-1.79553,10.5071,2.19078
730,-25.4033,82.3494,5.13404
731,-11.6361,57.0719,3.76388
732,-7.33891,25.158,1.34444
733,-2.66071,12.0705,2.16451
734,-49.5344,135.598,7.44835
735,-21.3626,83.2167,4.63385
736,-6.96892,34.9624,1.10492
737,-21.459,83.5914,6.6147
738,-14.5073,47.8582,0.85587
739,-8.7299,35.1587,1.27622
740,-16.9176,47.5334,1.12639
741,-9.88457,33.1949,11.8927
742,-15.1751,49.9719,1.94066
743,-1.05035,6.00061,0.99091
744,-17.4491,49.5086,2.23082
745,-8.94643,36.4998,2.03915
746,-2.19211,8.95721,0.92771
747,-2.17598,10.3607,1.25066
748,-36.9278,120.338,3.26988
749,-2.16696,10.3101,1.90055
750,-49.0379,135.774,4.11846
751,-22.6298,89.354,2.67742
752,-2.5938,10.2546,2.07065
753,-1.76599,10.5123,2.19078
754,-24.8719,81.6411,5.11228
755,-7.30593,25.3162,1.33475
756,-2.62306,12.0873,2.15453
757,-49.0194,135.73,7.44837
758,-21.0677,83.3297,4.64394
759,-9.28108,27.242,1.3298
760,-6.8444,35.0048,1.10495
761,-21.123,83.5289,6.6144
762,-14.3399,47.8878,0.86585
763,-8.60711,35.2109,1.27626
764,-16.7304,47.5664,1.12636
765,-11.4253,57.0844,1.15379
766,-9.78031,33.2946,11.9128
767,-15.0112,50.0212,1.94069
768,-1.03065,6.00409,0.9909
769,-17.2701,49.5301,2.23078
770,-8.8555,36.6174,2.03936
771,-2.18574,8.97864,0.92775
772,-2.1528,10.3445,1.26062
773,-36.4505,120.28,3.26952
774,-6.81298,35.4029,2.68578
775,-2.57954,10.2886,1.64071
776,-2.13742,10.3153,1.90055
777,-48.5439,135.852,4.11838
778,-22.557,90.3215,2.66942
779,-2.57584,10.268,2.07067
780,-1.73818,10.5274,2.1908
781,-24.6837,82.0704,5.12309
782,-10.8439,55.2317,3.7396
783,-9.35001,32.288,0.84047
